date,venue,race_no,race_name,detail,horse_no,horse_name,win_odds,implied_prob,fetched_at_jst
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,1,タカラエイティ,211.8,0.5,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,2,ミエスタ,3.2,31.2,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,3,ハングローズ,8.0,12.5,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,4,ヨルヴィック,5.9,16.9,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,5,ラブカニュー,221.7,0.5,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,6,エリースノー,134.3,0.7,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,7,ルージュリヴィエラ,36.1,2.8,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,8,キタノローズ,157.3,0.6,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,9,スウィートラキ,605.6,0.2,2026-05-24 11:06:11+09:00
2026-05-24,東京,1,3歳未勝利,10:00発走 / ダ1400m (左) / 天候:曇 / 馬場:稍,10,ハンナパール,6.6,15.2,2026-05-24 11:06:11+09:00
