date,venue,race_no,race_name,detail,finish_pos,horse_no,horse_name,final_odds,popularity,finish_time,race_id
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,1,7,レゲンデ,9.4,4,1:18.5,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,2,15,ツクバヴァンガード,1.8,1,1:18.5,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,3,11,スティールヴォーグ,3.7,2,1:19.0,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,4,5,ヴィスクレス,6.9,3,1:19.1,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,5,3,スピニンググローブ,13.1,5,1:19.3,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,6,10,クアラトレンガヌ,98.7,9,1:19.5,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,7,8,テンカラットレター,19.0,6,1:19.6,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,8,13,テルケンレンタッチ,51.3,7,1:20.1,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,9,1,スウェーバック,68.6,8,1:20.6,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,10,2,イナンナ,167.9,12,1:20.6,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,11,4,リオンアンサー,489.3,15,1:21.0,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,12,14,ヌビアン,99.8,10,1:21.1,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,13,6,ブライティアビーム,321.6,13,1:21.5,202605030401
2026-06-14,東京,1,3歳未勝利,09:55発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,14,12,ブラックゲイル,464.7,14,1:21.7,202605030401
